"","description","score","File","Source","AnimalScore","AnimalInd","Specificity","Count","SelectionMetric"
"65","grey fox",0.775163345337,"Dazarae BP-18000 3742-21.JPG","amazon",0.650439083563017,NA,0.632013402936029,35,1.65826457545884
"66","mammal",0.775163345337,"Dazarae BP-18000 3742-21.JPG","amazon",0.623663218882118,NA,0,405,1.32362986267603
"67","red wolf",0.775163345337,"Dazarae BP-18000 3742-21.JPG","amazon",0.555013603782581,NA,0.693667183095973,31,1.66629254070181
"68","outdoors",0.75627784729,"Dazarae BP-18000 3742-21.JPG","amazon",0.356118831136187,NA,0.531810420193845,147,1.49759954980439
"69","wilderness",0.75627784729,"Dazarae BP-18000 3742-21.JPG","amazon",0.263795911677195,NA,0.468719266980854,5,1.47944674189472
"70","deer",0.75091293335,"Dazarae BP-18000 3742-21.JPG","amazon",0.536337370887508,1,0.644048345207215,23,1.60332935675619
"71","wildlife",0.75091293335,"Dazarae BP-18000 3742-21.JPG","amazon",0.499809648512766,NA,0.577453955179498,264,1.54620336429191
"72","rodent",0.673286819458,"Dazarae BP-18000 3742-21.JPG","amazon",0.487561267351683,NA,0.635232422688916,56,1.462799819465
"73","squirrel",0.659682769775,"Dazarae BP-18000 3742-21.JPG","amazon",0.802304600449858,1,0.673804233939038,6,1.56782725079087
"74","field",0.523754425049,"Dazarae BP-18000 3742-21.JPG","amazon",0.168035106869028,NA,0.502971436968491,49,1.09341184706072
"75","grass",0.523754425049,"Dazarae BP-18000 3742-21.JPG","amazon",0.426373306438296,NA,0.578727774844713,111,1.19108043156296
"76","grassland",0.523754425049,"Dazarae BP-18000 3742-21.JPG","amazon",0.659305475342856,NA,0.415511688794644,45,1.17312097065653
"77","plant",0.523754425049,"Dazarae BP-18000 3742-21.JPG","amazon",0.160226974972077,NA,0.526814156263583,40,1.10490684774915
"78","vegetation",0.511733779907,"Dazarae BP-18000 3742-21.JPG","amazon",0.548552018116468,NA,0.475764863264382,28,1.16151932967227
"79","algae",0.924512557983,"ECU-004-D0001-I000005.jpeg","amazon",0.296786253663639,NA,0.593833840846644,5,1.80260368036373
"80","animal",0.993237838745,"ECU-004-D0001-I000006.jpeg","amazon",1,NA,0,355,1.74516420704184
"81","leopard",0.993237838745,"ECU-004-D0001-I000006.jpeg","amazon",0.553281851982714,NA,0.713888665671845,34,2.00227141246335
"82","mammal",0.993237838745,"ECU-004-D0001-I000006.jpeg","amazon",0.623663218882118,NA,0,405,1.65074160278803
"83","ocelot",0.993237838745,"ECU-004-D0001-I000006.jpeg","amazon",0.582411124130228,1,0.704915692423481,12,2.01678489882128
"84","abyssinian",0.805117721558,"ECU-004-D0001-I000006.jpeg","amazon",0.662416353049883,NA,0.563178386863338,10,1.68649264063282
"85","cat",0.805117721558,"ECU-004-D0001-I000006.jpeg","amazon",0.923642675604657,NA,0.859507018283396,126,1.87724946844361
"86","pet",0.805117721558,"ECU-004-D0001-I000006.jpeg","amazon",0.928221641829446,NA,0.86579245285228,47,1.88721471837029
"87","giraffe",0.793652267456,"ECU-004-D0001-I000006.jpeg","amazon",0.55749483741922,NA,0.723294107113286,2,1.7622098422141
"88","gecko",0.526571464539,"ECU-004-D0001-I000006.jpeg","amazon",0.56036596679126,NA,0.5226224611521,1,1.29125991908237
"89","lizard",0.526571464539,"ECU-004-D0001-I000006.jpeg","amazon",0.707732173611434,NA,0.611129516542617,1,1.37235499848267
"90","reptile",0.526571464539,"ECU-004-D0001-I000006.jpeg","amazon",0.648503489837947,NA,0.77792598543832,7,1.37874250928807
"91","wildlife",0.526571464539,"ECU-004-D0001-I000006.jpeg","amazon",0.499809648512766,NA,0.577453955179498,264,1.20969116107541
"92","jaguar",0.519219169617,"ECU-004-D0001-I000006.jpeg","amazon",0.137363605894154,1,0.5141993938229,13,1.09800436262175
"93","forest",0.50504070282,"ECU-004-D0001-I000006.jpeg","amazon",0.549786348196565,NA,0.445144056579262,20,1.13994034934377
"94","jungle",0.50504070282,"ECU-004-D0001-I000006.jpeg","amazon",0.45504364959399,NA,0.594135505871152,17,1.19264328206771
"95","forest",0.828603363037,"GRID5-2015-07-22_13-44-07-CAM41978.jpg","amazon",0.549786348196565,NA,0.445144056579262,20,1.62528433966927
"96","grove",0.828603363037,"GRID5-2015-07-22_13-44-07-CAM41978.jpg","amazon",0.207326573661923,NA,0.436122748607465,3,1.57053308919368
"97","land",0.828603363037,"GRID5-2015-07-22_13-44-07-CAM41978.jpg","amazon",0.160543123823318,NA,0.417534252782579,4,1.54180795190262
"98","vegetation",0.651170425415,"GRID5-2015-07-22_13-44-07-CAM41978.jpg","amazon",0.548552018116468,NA,0.475764863264382,28,1.37067429793427
"99","animal",0.60731212616,"GRID5-2015-07-22_13-44-07-CAM41978.jpg","amazon",1,NA,0,355,1.16627563816434
"100","bear",0.60731212616,"GRID5-2015-07-22_13-44-07-CAM41978.jpg","amazon",0.450966210228392,1,0.573643906600322,1,1.41053169509726
"101","black bear",0.60731212616,"GRID5-2015-07-22_13-44-07-CAM41978.jpg","amazon",0.450966210228392,NA,0.573643906600322,1,1.41053169509726
"102","mammal",0.60731212616,"GRID5-2015-07-22_13-44-07-CAM41978.jpg","amazon",0.623663218882118,NA,0,405,1.07185303391053
"103","jungle",0.510958862305,"GRID5-2015-07-22_13-44-07-CAM41978.jpg","amazon",0.45504364959399,NA,0.594135505871152,17,1.20152052129521
"104","plant",0.507844619751,"GRID5-2015-07-22_13-44-07-CAM41978.jpg","amazon",0.160226974972077,NA,0.526814156263583,40,1.08104213980215
"105","animal",0.977840118408,"herpailurus rojo 2478-2 zona guanaco.JPG","amazon",1,NA,0,355,1.72206762653634
"106","canine",0.977840118408,"herpailurus rojo 2478-2 zona guanaco.JPG","amazon",0.899039248742498,NA,0.876547221134548,77,2.14118965801086
"107","fox",0.977840118408,"herpailurus rojo 2478-2 zona guanaco.JPG","amazon",0.463251829333263,1,0.632013402936029,24,1.91899225093652
"108","mammal",0.977840118408,"herpailurus rojo 2478-2 zona guanaco.JPG","amazon",0.623663218882118,NA,0,405,1.62764502228253
"109","red fox",0.977840118408,"herpailurus rojo 2478-2 zona guanaco.JPG","amazon",0.463251829333263,NA,0.632013402936029,12,1.92744734987281
"110","grey fox",0.915902481079,"herpailurus rojo 2478-2 zona guanaco.JPG","amazon",0.650439083563017,NA,0.632013402936029,35,1.86937327907184
"111","kit fox",0.915902481079,"herpailurus rojo 2478-2 zona guanaco.JPG","amazon",0.463251829333263,NA,0.632013402936029,9,1.83900671375316
"112","coyote",0.881917572021,"herpailurus rojo 2478-2 zona guanaco.JPG","amazon",0.425597084408275,1,0.628511449121792,47,1.75811785284425
"113","red wolf",0.881917572021,"herpailurus rojo 2478-2 zona guanaco.JPG","amazon",0.555013603782581,NA,0.693667183095973,31,1.82642388072781
"114","animal",0.842968139648,"Herpailurus yagouaroundi 2493-3.JPG","amazon",1,NA,0,355,1.51975965839634
"115","canine",0.842968139648,"Herpailurus yagouaroundi 2493-3.JPG","amazon",0.899039248742498,NA,0.876547221134548,77,1.93888168987086
"116","coyote",0.842968139648,"Herpailurus yagouaroundi 2493-3.JPG","amazon",0.425597084408275,1,0.628511449121792,47,1.69969370428475
"117","grey fox",0.842968139648,"Herpailurus yagouaroundi 2493-3.JPG","amazon",0.650439083563017,NA,0.632013402936029,35,1.75997176692534
"118","mammal",0.842968139648,"Herpailurus yagouaroundi 2493-3.JPG","amazon",0.623663218882118,NA,0,405,1.42533705414253
"119","red wolf",0.842968139648,"Herpailurus yagouaroundi 2493-3.JPG","amazon",0.555013603782581,NA,0.693667183095973,31,1.76799973216831
"120","animal",0.992270584106,"IMG_0007.JPG","amazon",1,NA,0,355,1.74371332508334
"121","baboon",0.992270584106,"IMG_0007.JPG","amazon",0.608014096391293,NA,0.746434195857918,5,2.05834785773578
"122","mammal",0.992270584106,"IMG_0007.JPG","amazon",0.623663218882118,NA,0,405,1.64929072082953
"123","monkey",0.992270584106,"IMG_0007.JPG","amazon",0.621638143506914,NA,0.715725054147746,6,2.04250276815599
"124","canine",0.884433898926,"IMG_0007.JPG","amazon",0.899039248742498,NA,0.876547221134548,77,2.00108032878786
"125","coyote",0.884433898926,"IMG_0007.JPG","amazon",0.425597084408275,1,0.628511449121792,47,1.76189234320175
"126","grey fox",0.884433898926,"IMG_0007.JPG","amazon",0.650439083563017,NA,0.632013402936029,35,1.82217040584234
"127","red wolf",0.884433898926,"IMG_0007.JPG","amazon",0.555013603782581,NA,0.693667183095973,31,1.83019837108531
"128","field",0.549162521362,"IMG_0007.JPG","amazon",0.168035106869028,NA,0.502971436968491,49,1.13152399153022
"129","animal",0.990084075928,"IMG_0008.JPG","amazon",1,NA,0,355,1.74043356281634
"130","baboon",0.990084075928,"IMG_0008.JPG","amazon",0.608014096391293,NA,0.746434195857918,5,2.05506809546878
"131","mammal",0.990084075928,"IMG_0008.JPG","amazon",0.623663218882118,NA,0,405,1.64601095856253
"132","monkey",0.990084075928,"IMG_0008.JPG","amazon",0.621638143506914,NA,0.715725054147746,6,2.03922300588899
"133","field",0.82775718689,"IMG_0008.JPG","amazon",0.168035106869028,NA,0.502971436968491,49,1.54941598982222
"134","bush",0.532864265442,"IMG_0008.JPG","amazon",0.186912126890719,NA,0.506546006300129,20,1.12165811281074
"135","plant",0.532864265442,"IMG_0008.JPG","amazon",0.160226974972077,NA,0.526814156263583,40,1.11857160833865
"136","vegetation",0.532864265442,"IMG_0008.JPG","amazon",0.548552018116468,NA,0.475764863264382,28,1.19321505797477
"137","countryside",0.508765296936,"IMG_0008.JPG","amazon",0.254423654794234,NA,0.461146997490799,17,1.08158092035159
"138","outdoors",0.508765296936,"IMG_0008.JPG","amazon",0.356118831136187,NA,0.531810420193845,147,1.12633072427339
"139","soil",0.508324966431,"IMG_0008.JPG","amazon",0.231913359012962,NA,0.514817453177293,14,1.10460064017963
"140","animal",0.951108551025,"IMG_0009.JPG","amazon",1,NA,0,355,1.68197027546184
"141","baboon",0.951108551025,"IMG_0009.JPG","amazon",0.608014096391293,NA,0.746434195857918,5,1.99660480811428
"142","mammal",0.951108551025,"IMG_0009.JPG","amazon",0.623663218882118,NA,0,405,1.58754767120803
"143","monkey",0.951108551025,"IMG_0009.JPG","amazon",0.621638143506914,NA,0.715725054147746,6,1.98075971853449
"144","grassland",0.79574798584,"IMG_0009.JPG","amazon",0.659305475342856,NA,0.415511688794644,45,1.58111131184303
"145","outdoors",0.79574798584,"IMG_0009.JPG","amazon",0.356118831136187,NA,0.531810420193845,147,1.55680475762939
"146","savanna",0.79574798584,"IMG_0009.JPG","amazon",0.561860296667853,NA,0.402690470706662,33,1.55284005387586
"147","bush",0.555021362305,"IMG_0009.JPG","amazon",0.186912126890719,NA,0.506546006300129,20,1.15489375810524
"148","plant",0.555021362305,"IMG_0009.JPG","amazon",0.160226974972077,NA,0.526814156263583,40,1.15180725363315
"149","vegetation",0.555021362305,"IMG_0009.JPG","amazon",0.548552018116468,NA,0.475764863264382,28,1.22645070326927
"150","canine",0.542446022034,"IMG_0009.JPG","amazon",0.899039248742498,NA,0.876547221134548,77,1.48809851344986
"151","coyote",0.542446022034,"IMG_0009.JPG","amazon",0.425597084408275,1,0.628511449121792,47,1.24891052786375
"152","grey fox",0.542446022034,"IMG_0009.JPG","amazon",0.650439083563017,NA,0.632013402936029,35,1.30918859050434
"153","red wolf",0.542446022034,"IMG_0009.JPG","amazon",0.555013603782581,NA,0.693667183095973,31,1.31721655574731
"154","animal",0.987681427002,"IMG_0017.JPG","amazon",1,NA,0,355,1.73682958942734
"155","mammal",0.987681427002,"IMG_0017.JPG","amazon",0.623663218882118,NA,0,405,1.64240698517353
"156","zebra",0.987681427002,"IMG_0017.JPG","amazon",0.610805218843365,1,0.688575215683627,83,1.98948747905462
"157","tunnel",0.76288772583,"IMG_0017.JPG","amazon",0.1588341784452,NA,0.452296164430181,2,1.48089889369005
"158","animal",0.991428756714,"IMG_0018.JPG","amazon",1,NA,0,355,1.74245058399534
"159","mammal",0.991428756714,"IMG_0018.JPG","amazon",0.623663218882118,NA,0,405,1.64802797974153
"160","zebra",0.991428756714,"IMG_0018.JPG","amazon",0.610805218843365,1,0.688575215683627,83,1.99510847362262
"161","tunnel",0.5815782547,"IMG_0018.JPG","amazon",0.1588341784452,NA,0.452296164430181,2,1.20893468699505
"162","animal",0.991001663208,"IMG_0019.JPG","amazon",1,NA,0,355,1.74180994373634
"163","mammal",0.991001663208,"IMG_0019.JPG","amazon",0.623663218882118,NA,0,405,1.64738733948253
"164","zebra",0.991001663208,"IMG_0019.JPG","amazon",0.610805218843365,1,0.688575215683627,83,1.99446783336362
"165","animal",0.991479110718,"IMG_0020.JPG","amazon",1,NA,0,355,1.74252611500134
"166","mammal",0.991479110718,"IMG_0020.JPG","amazon",0.623663218882118,NA,0,405,1.64810351074753
"167","zebra",0.991479110718,"IMG_0020.JPG","amazon",0.610805218843365,1,0.688575215683627,83,1.99518400462862
"168","animal",0.9916771698,"IMG_0021.JPG","amazon",1,NA,0,355,1.74282320362434
"169","mammal",0.9916771698,"IMG_0021.JPG","amazon",0.623663218882118,NA,0,405,1.64840059937053
"170","zebra",0.9916771698,"IMG_0021.JPG","amazon",0.610805218843365,1,0.688575215683627,83,1.99548109325162
"171","animal",0.99250038147,"IMG_0022.JPG","amazon",1,NA,0,355,1.74405802112934
"172","mammal",0.99250038147,"IMG_0022.JPG","amazon",0.623663218882118,NA,0,405,1.64963541687553
"173","zebra",0.99250038147,"IMG_0022.JPG","amazon",0.610805218843365,1,0.688575215683627,83,1.99671591075662
"174","grassland",0.528509025574,"IMG_0022.JPG","amazon",0.659305475342856,NA,0.415511688794644,45,1.18025287144403
"175","outdoors",0.528509025574,"IMG_0022.JPG","amazon",0.356118831136187,NA,0.531810420193845,147,1.15594631723039
"176","savanna",0.528509025574,"IMG_0022.JPG","amazon",0.561860296667853,NA,0.402690470706662,33,1.15198161347686
"177","soil",0.522120285034,"IMG_0022.JPG","amazon",0.231913359012962,NA,0.514817453177293,14,1.12529361808413
"178","field",0.509856300354,"IMG_0022.JPG","amazon",0.168035106869028,NA,0.502971436968491,49,1.07256466001822
"179","ground",0.508900642395,"IMG_0022.JPG","amazon",0.269809620049568,NA,0.435309473087723,3,1.10619313206772
"180","animal",0.993045501709,"IMG_0023.JPG","amazon",1,NA,0,355,1.74487570148784
"181","mammal",0.993045501709,"IMG_0023.JPG","amazon",0.623663218882118,NA,0,405,1.65045309723403
"182","zebra",0.993045501709,"IMG_0023.JPG","amazon",0.610805218843365,1,0.688575215683627,83,1.99753359111512
"183","grassland",0.553519668579,"IMG_0023.JPG","amazon",0.659305475342856,NA,0.415511688794644,45,1.21776883595153
"184","outdoors",0.553519668579,"IMG_0023.JPG","amazon",0.356118831136187,NA,0.531810420193845,147,1.19346228173789
"185","savanna",0.553519668579,"IMG_0023.JPG","amazon",0.561860296667853,NA,0.402690470706662,33,1.18949757798436
"186","soil",0.508544845581,"IMG_0023.JPG","amazon",0.231913359012962,NA,0.514817453177293,14,1.10493045890463
"187","bush",0.508196716309,"IMG_0023.JPG","amazon",0.186912126890719,NA,0.506546006300129,20,1.08465678911124
"188","plant",0.508196716309,"IMG_0023.JPG","amazon",0.160226974972077,NA,0.526814156263583,40,1.08157028463915
"189","vegetation",0.508196716309,"IMG_0023.JPG","amazon",0.548552018116468,NA,0.475764863264382,28,1.15621373427527
"190","animal",0.82365486145,"IMG_0024.JPG","amazon",1,NA,0,355,1.49078974109934
"191","antelope",0.82365486145,"IMG_0024.JPG","amazon",0.533653501237447,1,0.675323888795898,18,1.73012783792186
"192","gazelle",0.82365486145,"IMG_0024.JPG","amazon",0.540377469552774,NA,0.655237003150002,12,1.72706267459768
"193","impala",0.82365486145,"IMG_0024.JPG","amazon",0.529115487167141,NA,0.58685952107238,14,1.68791704869422
"194","bunny",0.744381256104,"IMG_0024.JPG","amazon",0.694765778045993,NA,0.690325874508081,2,1.70613694404019
"195","mammal",0.744381256104,"IMG_0024.JPG","amazon",0.623663218882118,NA,0,405,1.27745672882653
"196","rabbit",0.744381256104,"IMG_0024.JPG","amazon",0.852034562206962,1,0.854388275895449,5,1.80149602220546
"197","rodent",0.744381256104,"IMG_0024.JPG","amazon",0.487561267351683,NA,0.635232422688916,56,1.569441474434
"198","countryside",0.618239097595,"IMG_0024.JPG","amazon",0.254423654794234,NA,0.461146997490799,17,1.24579162134009
"199","grassland",0.618239097595,"IMG_0024.JPG","amazon",0.659305475342856,NA,0.415511688794644,45,1.31484797947553
"200","grazing",0.618239097595,"IMG_0024.JPG","amazon",0.42825672800265,NA,0.583756805248212,1,1.42630123101727
"201","outdoors",0.618239097595,"IMG_0024.JPG","amazon",0.356118831136187,NA,0.531810420193845,147,1.29054142526189
"202","pasture",0.618239097595,"IMG_0024.JPG","amazon",0.309943806260321,NA,0.502643579448,15,1.2819862766563
"203","ranch",0.618239097595,"IMG_0024.JPG","amazon",0.266115158525493,NA,0.522225888430702,1,1.35500038023922
"204","animal",0.990525283813,"IMG_0025.JPG","amazon",1,NA,0,355,1.74109537464384
"205","mammal",0.990525283813,"IMG_0025.JPG","amazon",0.623663218882118,NA,0,405,1.64667277039003
"206","zebra",0.990525283813,"IMG_0025.JPG","amazon",0.610805218843365,1,0.688575215683627,83,1.99375326427112
"207","animal",0.991802978516,"IMG_0026.JPG","amazon",1,NA,0,355,1.74301191669834
"208","mammal",0.991802978516,"IMG_0026.JPG","amazon",0.623663218882118,NA,0,405,1.64858931244453
"209","zebra",0.991802978516,"IMG_0026.JPG","amazon",0.610805218843365,1,0.688575215683627,83,1.99566980632562
"210","soil",0.514022636414,"IMG_0026.JPG","amazon",0.231913359012962,NA,0.514817453177293,14,1.11314714515413
"211","grassland",0.511915206909,"IMG_0026.JPG","amazon",0.659305475342856,NA,0.415511688794644,45,1.15536214344653
"212","outdoors",0.511915206909,"IMG_0026.JPG","amazon",0.356118831136187,NA,0.531810420193845,147,1.13105558923289
"213","savanna",0.511915206909,"IMG_0026.JPG","amazon",0.561860296667853,NA,0.402690470706662,33,1.12709088547936
"214","animal",0.992211456299,"IMG_0027.JPG","amazon",1,NA,0,355,1.74362463337284
"215","mammal",0.992211456299,"IMG_0027.JPG","amazon",0.623663218882118,NA,0,405,1.64920202911903
"216","zebra",0.992211456299,"IMG_0027.JPG","amazon",0.610805218843365,1,0.688575215683627,83,1.99628252300012
"217","soil",0.513236923218,"IMG_0027.JPG","amazon",0.231913359012962,NA,0.514817453177293,14,1.11196857536013
"218","animal",0.991160125732,"IMG_0028.JPG","amazon",1,NA,0,355,1.74204763752234
"219","mammal",0.991160125732,"IMG_0028.JPG","amazon",0.623663218882118,NA,0,405,1.64762503326853
"220","zebra",0.991160125732,"IMG_0028.JPG","amazon",0.610805218843365,1,0.688575215683627,83,1.99470552714962
"221","animal",0.992024154663,"IMG_0091.JPG","amazon",1,NA,0,355,1.74334368091884
"222","mammal",0.992024154663,"IMG_0091.JPG","amazon",0.623663218882118,NA,0,405,1.64892107666503
"223","zebra",0.992024154663,"IMG_0091.JPG","amazon",0.610805218843365,1,0.688575215683627,83,1.99600157054612
"224","animal",0.990967178345,"IMG_0092.JPG","amazon",1,NA,0,355,1.74175821644184
"225","mammal",0.990967178345,"IMG_0092.JPG","amazon",0.623663218882118,NA,0,405,1.64733561218803
"226","zebra",0.990967178345,"IMG_0092.JPG","amazon",0.610805218843365,1,0.688575215683627,83,1.99441610606912
"227","animal",0.970486602783,"IMG_0093.JPG","amazon",1,NA,0,355,1.71103735309884
"228","mammal",0.970486602783,"IMG_0093.JPG","amazon",0.623663218882118,NA,0,405,1.61661474884503
"229","zebra",0.970486602783,"IMG_0093.JPG","amazon",0.610805218843365,1,0.688575215683627,83,1.96369524272612
"230","people",0.991451187134,"IMG_0094.JPG","amazon",0.156340554741309,NA,0.514431755304484,22,1.80479786867413
"231","person",0.991451187134,"IMG_0094.JPG","amazon",0.214818620970931,NA,0.501779459462208,9,1.82510449900817
